exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,token_emb_kernel_size,dropout,comb_type,bs
2024-08-02 03:29,29282.488,68.6238784790039,81433.75,17.93157958984375,72395.11,29.762182235717773,19,78022.63,50.44596481323242,49441.824,50.985347747802734,79175.3,50.46099472045898,3,72118.66,26.38288307189941,29400.328,66.66410827636719,80340.28,19.58102798461914,17,16,0.038,458,840,938,128,11,11,0.61,add,256
2024-08-02 03:28,29347.943,69.92314910888672,89199.836,40.87621688842773,82722.23,41.68339920043945,20,84292.47,49.992801666259766,63098.73,40.5625228881836,86298.47,45.01347732543945,1,67426.81,38.659278869628906,43477.79,54.32077026367188,75600.34,40.82687759399414,5,28,0.034,394,760,902,64,12,12,0.66,add,128
2024-08-02 01:55,37416.15,60.4088134765625,78402.96,34.647438049316406,70413.625,31.615665435791016,12,82337.67,51.95063018798828,66546.42,43.017913818359375,79146.305,48.981876373291016,1,66182.0,44.67128372192383,45228.9,47.75576019287109,81175.44,45.703983306884766,7,24,0.036,502,640,950,256,11,13,0.71,add,128
2024-08-02 03:16,41135.242,54.03894805908203,89509.36,-9.942989349365234,91145.71,-23.16312789916992,20,67760.6,35.77338409423828,45894.844,50.69522857666016,70266.016,20.33915328979492,10,67173.03,32.923946380615234,70422.6,34.33393859863281,76993.04,36.81271362304688,9,16,0.042,436,726,910,256,12,14,0.65,add,1024
2024-08-02 05:49,38202.598,63.07755661010742,84178.3,9.22787380218506,71277.93,22.51329231262207,12,74924.23,50.84538650512695,56583.395,45.36347961425781,71349.25,50.58872222900391,1,69455.39,23.276811599731445,43922.348,54.391632080078125,85850.82,10.149930953979492,7,20,0.042,328,718,822,128,7,12,0.65,add,128
2024-08-02 05:21,38280.062,60.70971298217773,74244.87,31.55492401123047,70980.336,26.6939697265625,11,76294.02,51.66144561767578,67078.29,40.09501647949219,72058.25,50.5482292175293,1,65308.914,35.88674545288086,40414.664,54.05857467651367,72733.44,38.96710968017578,10,16,0.043,294,688,820,64,9,11,0.66,add,128
2024-08-02 05:20,40462.34,56.74089431762695,83855.74,10.29271125793457,77302.24,15.10198974609375,16,75826.32,44.19352340698242,51936.91,44.45491027832031,76876.14,31.326459884643555,9,74012.5,43.79487991333008,40623.22,55.045780181884766,86491.88,45.81893157958984,14,28,0.03,238,712,796,64,9,12,0.61,add,1024
2024-08-01 23:43,44400.93,55.861549377441406,73155.23,46.82252883911133,69033.2,37.63499450683594,6,83223.59,45.47597122192383,59414.81,38.61880111694336,77117.83,41.01199722290039,1,68542.13,26.66362953186035,49951.066,40.55024719238281,74140.7,40.47085189819336,7,16,0.077,310,860,664,256,14,11,0.61,add,128
2024-08-02 02:34,36304.562,59.7436637878418,77326.33,21.15332794189453,71271.57,23.55044937133789,17,70932.2,40.26142883300781,54092.312,47.43544769287109,71149.055,39.28241729736328,14,74134.27,38.877071380615234,74179.484,36.011260986328125,76364.59,45.49237823486328,7,24,0.036,510,590,1000,128,11,12,0.5700000000000001,add,1024
2024-08-02 03:08,33382.5,64.70891571044922,78165.195,18.72861862182617,73913.69,16.79206085205078,13,79817.48,50.67845153808594,54714.844,49.92435073852539,74949.38,50.28029251098633,1,65137.457,31.021717071533203,40908.914,53.3476448059082,75261.98,34.1753044128418,9,28,0.043,426,712,902,256,10,14,0.68,add,128
2024-08-02 00:04,40739.53,56.90807342529297,77127.21,34.033294677734375,74519.2,22.32840919494629,12,78479.23,34.438697814941406,61277.633,39.08647537231445,78254.25,20.95729637145996,8,71852.62,18.283958435058597,48345.367,47.77870178222656,74205.86,34.424537658691406,11,16,0.027,376,672,696,64,10,10,0.63,add,1024
2024-08-02 02:54,35977.28,61.42205047607422,82475.45,27.11028289794922,71469.13,41.06010818481445,12,71704.64,49.67062377929688,51951.797,48.67750549316406,73413.945,44.93798828125,1,68967.46,32.70976257324219,46129.215,49.70207595825195,72431.76,38.29782104492188,3,16,0.027,452,726,852,128,8,14,0.62,add,128
2024-08-02 01:52,31534.252,66.22865295410156,80212.37,12.566527366638184,74824.45,15.516690254211426,15,79468.19,34.89851379394531,46625.25,55.6399040222168,79773.766,17.30040740966797,6,69766.66,25.00701713562012,50544.79,47.952518463134766,74550.055,36.519020080566406,3,16,0.022,398,698,1018,64,14,11,0.62,add,256
2024-08-02 05:04,32362.39,64.49053192138672,75730.336,30.439434051513672,73219.47,24.37576675415039,10,74755.266,41.85603332519531,50246.61,49.243934631347656,70358.05,37.69742202758789,1,70358.05,37.69742202758789,50246.61,49.243934631347656,74755.266,41.85603332519531,1,28,0.041,294,732,756,128,10,11,0.5800000000000001,add,128
2024-08-02 00:03,40277.043,58.65930938720703,90625.84,38.98656463623047,83180.64,23.36359405517578,14,84597.58,50.51519775390625,50372.477,48.87189102172852,82457.18,50.26154327392578,5,72351.05,46.61300277709961,42555.273,54.84872055053711,80546.29,47.37345123291016,8,28,0.09,252,788,766,64,16,13,0.66,add,256
2024-08-02 01:51,34280.895,59.47358703613281,85541.11,11.860843658447266,76597.66,14.19461154937744,17,77433.07,31.595508575439453,65029.547,32.76973342895508,77803.984,17.808673858642578,6,74637.85,18.169023513793945,45425.664,47.91791915893555,78259.78,29.77426528930664,11,24,0.014,456,764,916,128,9,13,0.6000000000000001,add,1024
2024-08-01 23:55,34175.91,59.84321594238281,85017.77,22.797998428344727,73737.984,34.99550247192383,12,76523.74,43.86983871459961,74206.64,34.34246826171875,74477.125,34.82743835449219,1,70731.766,18.8941707611084,50145.953,50.45181655883789,72985.79,29.57207679748535,3,28,0.018,382,794,800,256,10,13,0.68,add,128
2024-08-02 00:43,35819.094,64.73258209228516,82139.11,41.42658996582031,72113.13,46.57735443115234,14,76807.66,50.358863830566406,82656.805,37.13167953491211,72534.58,52.92403793334961,1,71115.664,41.905860900878906,47264.293,54.00958633422852,76476.08,46.55793762207031,3,16,0.014,316,788,878,128,9,14,0.62,add,128
2024-08-02 01:59,29259.326,67.39291381835938,94848.3,-2.9850857257843018,79678.88,11.877789497375488,18,72893.13,47.04579925537109,46886.457,48.340450286865234,68434.33,38.44816970825195,4,67981.055,37.025577545166016,45872.297,53.492801666259766,75301.195,43.49056625366211,5,28,0.022,488,780,880,64,11,14,0.7,add,256
2024-08-02 04:34,31568.191,67.95970916748047,87403.48,21.216846466064453,75260.586,38.49547958374024,17,75948.22,52.98708724975586,59399.48,50.8869743347168,73424.44,53.71632385253906,1,66714.81,38.766578674316406,37751.984,59.97296905517578,72278.734,41.00358963012695,11,16,0.031,412,782,804,64,8,15,0.76,add,128
