exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,hid_d,last_d,tok_conv_k,bs,norm_type,use_pos_enc,num_heads,fc_layer_type
2024-08-10 03:30,87.73903,81.36228942871094,429.68515,22.978286743164062,384.08557,14.882593154907228,21,404.9414,44.30680084228516,310.44003,41.54629135131836,381.92026,45.56312942504883,1,379.4235,34.91012191772461,125.51796,75.54566192626953,441.58154,40.07572555541992,14,48,0.0002,1699,1152,13,256,batch,True,48,mha
2024-08-10 04:24,25.202967,95.1465835571289,377.20767,48.60527801513672,375.0074,43.60683059692383,48,1282.1309,-21.839509963989254,214.04596,62.02220916748047,446.9753,35.74420928955078,1,355.49298,44.22018432617188,98.852684,82.16619110107422,406.55203,48.17574691772461,14,44,0.0003,223,1882,8,128,batch,True,48,mha
2024-08-10 10:39,48.395996,90.85655975341795,383.5659,42.08260726928711,356.82465,40.27682113647461,39,357.18732,42.01089859008789,109.93498,77.94056701660156,365.12036,43.57150650024414,19,347.1546,45.478214263916016,76.30818,85.6095199584961,384.0208,48.19227981567383,25,47,0.0005,1418,1094,8,256,layer,True,48,mha
2024-08-10 12:07,18.426498,96.53108978271484,364.0853,51.09469604492188,369.00015,42.68889617919922,70,664.79285,6.367080211639404,231.3549,56.72125244140625,396.13278,22.98282623291016,1,349.7249,38.83706283569336,72.04539,86.70304107666016,372.42853,45.92874526977539,21,46,0.0006,1302,808,9,128,batch,True,48,mha
2024-08-10 04:27,19.306746,96.22914123535156,369.37698,38.41885757446289,374.73523,29.66815948486328,48,702.235,17.048864364624023,251.74951,53.62057495117188,379.27353,44.17255783081055,1,369.51862,36.33053207397461,90.97924,84.00078582763672,437.33215,34.65374755859375,14,32,0.0006,1254,1496,9,128,batch,True,96,mha
2024-08-10 10:43,23.701777,95.40447235107422,373.2965,45.79908752441406,359.3206,36.85293197631836,49,418.85037,46.76079177856445,286.17847,50.1746826171875,353.87717,45.245731353759766,1,352.65506,40.69889831542969,47.16644,90.94285583496094,387.15076,47.28361511230469,27,43,0.0005,1353,1586,11,128,layer,True,12,mha
2024-08-10 12:44,24.210054,95.41707611083984,370.8398,47.72446441650391,358.5806,41.93230438232422,50,964.14325,-9.37156581878662,237.88141,57.46492767333984,416.47052,33.24996566772461,1,347.97177,38.980655670166016,46.601837,91.2149887084961,368.52335,47.03767776489258,31,44,0.0006,1380,1072,9,128,batch,True,48,mha
2024-08-10 12:54,50.699696,90.0453109741211,368.5548,47.1388053894043,370.4523,36.29428863525391,34,407.5927,39.50444412231445,270.76218,45.465579986572266,375.22635,45.29910659790039,1,349.80832,35.64918518066406,100.0087,81.44144439697266,373.49954,45.90176010131836,19,47,0.0004,1485,1140,10,128,layer,True,96,mha
2024-08-10 04:45,25.196909,95.17138671875,381.6897,47.95190048217773,341.54938,45.12162399291992,48,421.11508,52.377540588378906,285.90573,43.65513610839844,415.2272,49.32813262939453,1,346.4315,43.46485137939453,41.85959,91.9954605102539,381.00833,46.35701751708984,34,42,0.0009,241,1469,8,256,layer,True,12,mha
2024-08-10 11:14,48.16837,91.37458801269533,381.70462,46.50416946411133,369.94714,43.41373443603516,29,370.97974,42.7628288269043,130.36522,72.3478012084961,386.92273,37.56095504760742,11,359.81183,37.0810432434082,76.93367,84.52079010009766,368.36264,41.95572280883789,17,46,0.001,1522,1080,11,256,layer,True,96,mha
