exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,comb_type,bs
2024-07-17 20:09,278.98166,2.7382333278656006,404.49838,-45.95152282714844,384.34137,-47.13882446289063,8,404.49838,-45.95152282714844,278.98166,2.7382333278656006,384.34137,-47.13882446289063,8,384.34137,-47.13882446289063,278.98166,2.7382333278656006,404.49838,-45.95152282714844,8,36,0.15,256,256,256,128,8,add,1100
2024-07-17 20:42,379.8087,-30.309585571289062,571.2836,-133.67221069335938,376.0562,-88.02374267578125,8,680.22626,5.548696041107178,663.5123,10.869174003601074,566.21625,6.203981399536133,9,566.21625,6.203981399536133,663.5123,10.869174003601074,680.22626,5.548696041107178,9,36,0.15,256,256,256,128,32,add,1100
2024-07-17 20:21,5249.964,-638.0008544921875,1748.7365,-377.6785583496094,681.9269,-162.6130828857422,7,629.01904,-12.583247184753418,819.4587,-115.36576080322266,528.33,1.6158699989318848,1,528.33,1.6158699989318848,819.4587,-115.36576080322266,629.01904,-12.583247184753418,1,28,0.04,256,256,512,32,32,add,1100
2024-07-17 19:15,337.70285,10.607852935791016,499.57828,-77.87064361572266,480.81473,-133.77024841308594,8,499.57828,-77.87064361572266,337.70285,10.607852935791016,480.81473,-133.77024841308594,8,480.81473,-133.77024841308594,337.70285,10.607852935791016,499.57828,-77.87064361572266,8,36,0.1,256,64,512,128,16,add,1100
2024-07-17 17:19,159.95271,25.96615028381348,445.62173,-156.94976806640625,398.03726,-164.45968627929688,12,430.6406,-167.55813598632812,206.04239,-46.5128173828125,431.21957,-234.5003967285156,8,411.7863,-214.21905517578125,277.11346,-45.31034469604492,449.23767,-158.43629455566406,7,28,0.001,256,256,256,32,8,add,1100
2024-07-17 11:42,305.74332,-240.19749450683597,466.15045,,446.20847,,16,53730.816,-64096.23828125,31902.977,,60447.668,,1,60447.668,-59008.2109375,31902.977,,53730.816,,1,8,0.1,32,256,256,32,8,add,1100
2024-07-17 16:56,146.4902,27.4483699798584,414.31808,-154.5301513671875,434.4058,-251.41595458984372,22,401.8722,-128.93594360351562,176.5401,16.983570098876953,444.50525,-233.86924743652344,18,430.32047,-243.97659301757807,204.83202,-12.296801567077637,418.4719,-145.71417236328125,14,28,0.001,256,64,32,32,8,add,1100
2024-07-17 19:09,379.1462,11.74040985107422,430.07428,-4.964370250701904,389.68454,-32.26866149902344,6,442.43344,-69.48341369628906,686.7394,-82.22985076904297,349.79044,-55.70745086669922,2,349.79044,-55.70745086669922,686.7394,-82.22985076904297,442.43344,-69.48341369628906,2,28,0.04,256,64,256,32,16,add,1100
2024-07-17 11:42,259.47968,-72.09053802490234,488.30258,,459.7336,,8,440.94092,-174.87057495117188,270.08984,,413.76892,,5,417.70694,-195.32574462890625,268.68106,,435.41962,,6,8,0.01,64,64,256,32,2,add,1100
2024-07-17 18:10,380.75098,-136.82574462890625,513.0383,-196.20458984375,432.74817,-158.00491333007812,6,516.913,-176.5128631591797,487.88126,-131.5303497314453,441.76086,-153.6896514892578,1,441.76086,-153.6896514892578,487.88126,-131.5303497314453,516.913,-176.5128631591797,1,36,0.04,256,32,256,32,32,add,1100
2024-07-17 18:39,2099.1624,-143.73692321777344,1384.8533,-108.44721221923828,569.2416,-41.908599853515625,7,562.9062,-13.66308879852295,626.416,10.848715782165527,438.20517,3.715895652770996,1,438.20517,3.715895652770996,626.416,10.848715782165527,562.9062,-13.66308879852295,1,36,0.08,256,64,256,32,32,add,1100
2024-07-17 18:48,218.81128,12.150676727294922,422.03452,15.437230110168455,473.81186,15.043331146240234,9,414.17667,-28.10077476501465,455.04825,-17.764284133911133,413.92288,-93.14096069335938,4,413.92288,-93.14096069335938,455.04825,-17.764284133911133,414.17667,-28.10077476501465,4,36,0.04,256,64,256,128,8,add,1100
