exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,scale_y,skip_mode,conv,mlp,use_pos,seq_len,lr,d,hid_d,last_d,tok_d,time_d,pos_d,e_layers,tok_conv_k,conv_out_d,feat_conv_k,dropout,norm_type,num_heads,bs
2024-08-19 09:55,11923.953,87.1786117553711,75220.41,27.475399017333984,83202.164,6.494444847106934,24,73595.67,39.36379623413086,14933.736,87.29269409179688,79160.09,28.8233585357666,27,79293.83,26.7796630859375,31686.027,69.50130462646484,95804.25,7.797473907470703,5,standard,full,True,False,False,8,0.0058,144,24,288,8,20,20,5,11,128,9,0.16,layer,4,1024
2024-08-19 14:14,5472.3237,93.89690399169922,67739.5,41.87882614135742,77081.48,24.93404197692871,41,68496.52,42.37285232543945,8908.975,90.46389770507812,78653.25,25.6884880065918,27,80013.99,45.68656539916992,27164.691,69.10003662109375,76871.43,43.91685104370117,6,standard,conv_mlp,True,False,False,8,0.0017,176,40,480,8,20,32,3,9,128,11,0.16,layer,4,1024
2024-08-19 10:35,7146.0664,92.0171127319336,74816.32,30.3731689453125,78274.67,27.34928131103516,30,75679.03,34.78885269165039,16250.098,82.83610534667969,79236.32,32.80682373046875,17,73207.67,31.882768630981445,25260.332,73.24225616455078,76164.71,30.121309280395508,7,standard,conv_mlp,True,False,True,8,0.0011,112,24,224,8,16,12,8,9,192,9,0.2,layer,4,1024
2024-08-19 14:56,7852.7715,91.89607238769533,76576.35,36.7380485534668,71641.8,40.38829803466797,34,76109.16,39.22747802734375,15319.388,84.22343444824219,70927.33,41.18296432495117,20,70039.29,38.17129135131836,12416.953,88.81402587890625,78445.23,33.739471435546875,30,standard,conv_mlp,True,True,True,8,0.002,112,28,288,8,16,16,6,9,64,11,0.14,batch,4,1024
2024-08-19 09:27,9846.164,90.3838119506836,78232.266,32.073341369628906,73212.49,28.67496109008789,28,83140.375,30.889331817626957,16220.108,85.16996765136719,77666.65,29.89445304870605,21,73050.89,28.21083641052246,9300.806,90.48369598388672,78732.625,33.19200134277344,26,standard,conv_mlp,True,True,False,8,0.005,80,28,96,4,20,4,7,11,256,9,0.18,batch,4,1024
2024-08-19 15:06,5339.857,93.98821258544922,71997.26,36.78554916381836,74412.555,28.49135398864746,47,71530.19,35.87868118286133,5564.701,93.7509994506836,74119.13,27.140289306640625,45,74074.71,27.72866439819336,5331.325,94.2002944946289,71779.15,36.492774963378906,46,standard,conv_mlp,True,False,True,8,0.0044,112,36,352,8,12,28,6,9,128,11,0.14,layer,4,1024
2024-08-19 13:39,15072.291,84.60958099365234,86042.91,38.00384521484375,73713.164,39.52488708496094,20,78412.33,34.194862365722656,34851.766,60.28129577636719,66470.516,36.10810470581055,5,66470.516,36.10810470581055,34851.766,60.28129577636719,78412.33,34.194862365722656,5,standard,full,True,True,False,8,0.0038,80,20,288,8,8,16,2,9,128,11,0.2,batch,4,1024
2024-08-19 08:01,12193.074,87.73908233642578,74158.86,43.09811401367188,80768.32,27.685302734375,20,73057.48,37.04684829711914,28178.883,71.3829116821289,75762.65,30.54388236999512,6,73715.125,28.512954711914062,40995.508,60.91381454467773,71488.555,33.1634407043457,5,standard,full,True,True,False,8,0.0023,144,40,96,4,24,20,6,9,128,9,0.2,layer,4,1024
2024-08-19 14:12,15397.321,84.11656188964844,88702.5,25.02850914001465,75421.016,19.97871971130371,19,89168.99,-11.761701583862305,82034.42,13.585406303405762,81915.31,-2.269124984741211,1,72808.7,34.66621780395508,37246.656,69.99287414550781,92700.15,16.80854034423828,5,standard,full,True,False,True,8,0.0035,176,28,224,8,12,16,4,9,64,9,0.16,batch,4,1024
2024-08-19 10:52,11790.984,87.05738067626953,81435.99,28.645265579223636,75269.234,34.51536178588867,21,89387.79,-12.803447723388672,82030.82,12.752503395080566,82176.05,-3.337740898132324,1,66734.17,35.38429641723633,17482.95,80.33734893798828,98823.086,13.958560943603516,16,standard,conv_mlp,True,True,True,8,0.0063,48,20,352,8,8,20,5,11,128,9,0.16,layer,4,1024
2024-08-19 11:15,10983.192,87.34396362304688,86548.305,14.390432357788086,81838.234,17.635805130004883,21,88137.64,-6.1479926109313965,82245.35,18.013578414916992,80656.2,3.486776351928711,1,79543.34,20.69273567199707,14771.118,84.6046142578125,82317.0,22.443449020385746,17,standard,conv_mlp,True,False,True,8,0.0014,176,16,160,8,20,16,4,11,256,9,0.2,layer,4,1024
2024-08-19 12:02,11649.094,89.57984161376953,77321.086,32.16620635986328,79923.13,33.37721252441406,26,75987.76,33.64801406860352,12631.824,86.6015396118164,79703.91,32.33036422729492,22,75401.625,26.7796630859375,62702.03,36.55529022216797,91022.08,22.15826416015625,10,standard,conv_mlp,True,False,False,8,0.0026,112,24,160,8,4,20,4,11,128,9,0.18,layer,4,1024
2024-08-19 15:15,13379.083,86.22021484375,90172.97,30.857688903808597,87290.6,36.22478103637695,26,84379.086,35.812835693359375,26753.385,74.00361633300781,88142.06,39.51991271972656,15,80895.82,35.656951904296875,25907.084,72.54803466796875,81328.42,22.694175720214844,6,standard,full,True,False,True,8,0.0019,144,32,352,8,4,24,6,9,64,9,0.16,layer,4,1024
2024-08-19 10:59,10867.705,89.13360595703125,78685.67,32.34707260131836,78153.09,31.5577392578125,25,81486.03,30.670135498046875,10801.817,88.10095977783203,77367.86,24.053890228271484,26,73986.125,27.151124954223636,47111.2,64.1145248413086,121686.64,-3.2248735427856445,6,standard,full,True,False,False,8,0.0011,48,28,224,8,28,16,6,11,64,9,0.18,batch,4,1024
2024-08-19 08:32,12533.802,87.50028991699219,80046.984,32.7272834777832,77929.69,39.76764678955078,20,77066.31,35.08943176269531,28022.709,71.09127807617188,78568.9,40.44027328491211,6,72637.16,36.75987243652344,59750.105,50.62184143066406,79686.35,26.901948928833008,5,standard,conv_mlp,True,False,False,8,0.0038,144,28,288,8,24,20,5,11,192,9,0.16,batch,4,1024
