exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,comb_type,bs
2024-07-19 15:44,110.83897,64.35455322265625,455.9053,-23.20271873474121,411.94513,-41.0743408203125,22,441.9024,-54.54695129394531,147.32008,39.93532180786133,421.76495,-104.8471908569336,15,391.6897,-67.85900115966797,255.14368,5.9714555740356445,454.19925,-42.57109832763672,7,8,0.001,64,256,64,128,8,add,1100
2024-07-19 06:28,266.94986,14.552735328674316,463.6513,1.0203232765197754,352.87045,-33.493431091308594,43,463.5062,-3.20193099975586,275.2926,9.377995491027832,353.77594,-37.330814361572266,37,352.27936,-33.12815856933594,274.9955,12.926355361938477,469.46127,-0.1623634397983551,38,24,0.0002154434690031,64,64,512,128,32,add,1100
2024-07-20 03:43,216.75803,23.25444221496582,420.91013,-33.616756439208984,386.02448,-100.23287963867188,43,419.2991,-29.96901130676269,227.72134,23.678447723388672,380.4224,-93.19319915771484,34,375.89853,-63.68560791015625,266.91418,32.2160758972168,426.9626,-14.651650428771973,24,8,0.0001291549665014,256,64,64,128,16,add,1100
2024-07-20 00:50,312.43347,3.385528326034546,416.92123,-19.19314384460449,395.39813,-10.032953262329102,57,416.9573,-18.061363220214844,312.9181,4.349525451660156,395.88263,-9.144942283630373,55,395.16394,-10.13922119140625,313.32126,3.629338979721069,417.12155,-19.562179565429688,54,24,0.0001291549665014,256,64,64,64,32,add,1100
2024-07-19 13:55,349.8071,27.88960075378418,537.0323,14.121495246887209,484.2354,11.909509658813477,11,504.33316,-94.81635284423828,516.83136,-59.33872604370117,420.12875,-74.89803314208984,1,420.12875,-74.89803314208984,516.83136,-59.33872604370117,504.33316,-94.81635284423828,1,8,0.0002782559402207,64,256,64,64,32,add,1100
2024-07-20 12:25,127.5062,50.654415130615234,431.27344,-89.26775360107422,467.15103,-159.2833251953125,28,420.98547,-58.01970672607422,165.3729,36.18266296386719,391.71548,-85.14334106445312,19,377.5901,-50.64863204956055,196.38048,41.830474853515625,442.7276,-12.89235782623291,11,24,0.0007742636826811,256,256,512,64,16,add,1100
2024-07-19 03:17,170.79553,40.60080337524414,418.62738,-14.375696182250977,366.04678,-36.35215759277344,30,409.65305,-16.251123428344727,198.12503,29.27212142944336,362.33923,-49.08239364624024,21,353.332,-59.58183670043945,214.16202,25.501842498779297,418.15988,-21.68051528930664,18,24,0.0004641588833612,64,64,64,128,8,add,1100
2024-07-20 10:08,178.64091,27.549013137817383,563.1465,-30.27597427368164,388.89438,-81.63768768310547,37,543.6507,-44.61368179321289,204.6737,8.987822532653809,408.40216,-110.88981628417967,27,387.29187,-74.93793487548828,188.38144,24.8928337097168,561.63367,-28.025379180908203,31,24,0.0001291549665014,256,256,64,64,8,add,1100
2024-07-19 04:01,225.47592,15.911480903625488,416.56046,-14.458245277404783,346.1982,-52.77400207519531,50,413.53433,-15.024296760559082,229.4999,17.533599853515625,344.32507,-53.628448486328125,43,343.59488,-52.40760803222656,229.4135,14.978355407714844,415.02734,-14.495256423950195,42,8,0.0002154434690031,64,64,512,128,8,add,1100
2024-07-20 00:05,165.76138,35.16033172607422,500.4239,-3.424835443496704,477.4171,-14.535688400268556,31,460.62894,-27.382680892944336,194.22003,16.064964294433594,456.91766,-43.08641815185547,25,444.4111,-33.86634826660156,314.5008,-2.547520160675049,502.71405,-16.178449630737305,11,8,0.0005994842503189,256,64,512,64,16,add,1100
