exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,token_emb_kernel_size,dropout,comb_type,bs
2024-08-05 12:12,99.4378,79.47123718261719,424.10568,41.06338119506836,419.8855,16.988990783691406,19,761.271,14.558775901794434,318.51093,40.1103401184082,415.50128,37.30533599853516,1,371.79694,26.096864700317383,330.95667,55.97903823852539,647.27606,19.675058364868164,3,16,0.042,388,772,672,64,11,12,0.46,add,128
2024-08-05 13:01,88.75472,82.41263580322266,468.9958,41.52441787719727,422.5629,21.55066299438477,19,1400.5596,-22.71756172180176,2567.328,-203.5170440673828,850.3777,-19.57891273498535,1,408.0891,26.142623901367188,141.75244,74.46345520019531,476.67877,37.77373123168945,10,16,0.027,288,852,812,64,13,13,0.46,add,256
2024-08-05 13:39,135.18225,74.75385284423828,445.19772,46.73255157470703,390.18,44.80361557006836,7,389.8788,43.88008117675781,283.85867,48.74581146240234,401.30872,38.71747589111328,1,364.98132,26.347679138183597,261.3812,42.185585021972656,501.6073,15.398176193237305,2,16,0.004,228,872,772,64,8,13,0.42,add,128
2024-08-05 13:54,151.97476,70.26715087890625,416.8676,32.519710540771484,405.54272,15.374189376831056,10,387.99298,44.789039611816406,268.42877,52.8957633972168,381.23758,43.71128082275391,1,381.23758,43.71128082275391,268.42877,52.8957633972168,387.99298,44.789039611816406,1,16,0.004,308,812,812,64,13,13,0.46,add,512
2024-08-05 13:29,160.7124,73.93804931640625,447.4136,41.40169143676758,457.86282,21.79384994506836,11,547.734,-15.837760925292969,506.36737,4.402099132537842,436.16748,-0.3661255538463592,1,436.16748,-0.3661255538463592,506.36737,4.402099132537842,547.734,-15.837760925292969,1,16,0.011,408,832,832,64,18,12,0.4,add,512
2024-08-05 12:40,58.824127,88.19297790527344,433.17822,16.812707901000977,421.56464,8.457612037658691,40,421.08768,21.06367301940918,68.37643,85.90902709960938,411.43356,10.859808921813965,30,394.3765,17.799964904785156,130.0242,75.29302215576172,438.74844,32.72169494628906,12,16,0.028,308,732,712,64,16,12,0.42,add,512
2024-08-05 13:19,127.13687,76.38499450683594,453.24265,32.987998962402344,409.349,17.02630043029785,11,424.58826,43.19160079956055,354.8172,31.74275779724121,379.31494,32.7353630065918,1,365.3581,27.906330108642575,229.83533,54.3056640625,427.62903,35.70512008666992,2,16,0.011,388,772,792,64,11,12,0.44,add,128
2024-08-05 13:13,85.89232,82.58822631835938,419.50842,41.0008659362793,460.41168,5.121625900268555,19,1024.8202,-15.571438789367676,1437.1193,-79.86479187011719,694.97845,-27.9288272857666,1,416.04764,22.25559425354004,359.0218,44.0088996887207,469.45868,35.950042724609375,3,16,0.015,288,792,872,64,12,12,0.44,add,256
2024-08-05 13:33,119.58982,76.58051300048828,458.85257,30.462766647338867,408.2509,20.083356857299805,16,655.4423,23.11006546020508,452.48828,30.68512344360352,396.72208,40.95060729980469,1,388.09912,33.13779067993164,193.71901,58.32040786743164,439.60132,27.67176628112793,12,16,0.036,208,832,692,64,15,13,0.4,add,128
2024-08-05 13:23,112.1432,77.56613159179688,459.86853,33.12697219848633,403.0038,33.80457305908203,27,449.94766,30.71375846862793,125.45649,73.92364501953125,429.0403,11.796881675720217,11,388.93088,33.44628143310547,121.05987,75.48141479492188,461.2402,33.168270111083984,25,16,0.043,248,732,992,64,11,12,0.44,add,256
2024-08-05 12:34,142.2389,70.86295318603516,525.2084,21.57061004638672,464.08722,5.2028093338012695,11,410.97513,51.1175537109375,303.04428,57.3516731262207,378.32275,50.6517448425293,1,378.32275,50.6517448425293,303.04428,57.3516731262207,410.97513,51.1175537109375,1,16,0.003,268,792,852,64,17,13,0.46,add,512
2024-08-05 12:57,52.94328,89.63169860839844,391.79828,43.21854019165039,404.80374,17.231143951416016,30,402.73526,41.71064758300781,81.01931,84.61470031738281,418.66965,14.360652923583984,21,394.63675,23.32262420654297,72.45539,86.06312561035156,382.6906,43.91115951538086,20,16,0.007,228,952,792,64,16,12,0.4,add,256
2024-08-05 12:03,65.75186,87.79334259033203,401.24194,44.911380767822266,396.64185,31.113941192626957,31,400.23648,41.63209915161133,80.55483,84.57855987548828,397.1634,22.358369827270508,23,371.73285,43.0043830871582,141.16238,72.94071197509766,431.67392,41.74599838256836,16,16,0.027,288,692,832,64,10,12,0.42,add,256
