exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,vs,d,hd,ld,td,timed,pd,el,nh,cd,tck,fck,nt,sm,up,sl,mlp,ep,bs,lr,dp,wd
2024-08-22 10:34,7431.3735,92.60006713867188,72984.22,37.03182220458984,75666.59,20.60173225402832,35,82734.805,12.332063674926758,73746.586,32.4911003112793,77420.38,16.133045196533203,1,72466.61,24.52383041381836,16071.802,85.4622802734375,73598.65,34.10127258300781,25,0.15,96,64,416,12,48,52,5,4,256,7,9,layer,none,True,8,False,40,128,0.002,0.18,0.0024
2024-08-22 10:01,11608.515,86.05574035644531,78489.38,39.22475051879883,81675.055,24.83220672607422,25,78115.266,33.79307556152344,20577.596,74.58944702148438,84782.98,15.046638488769531,13,76079.29,34.47687149047852,32801.184,68.69528198242188,198362.83,-129.466796875,3,0.2,96,64,352,12,44,48,5,4,192,7,11,batch,none,True,8,False,60,256,0.0017,0.16,0.0026
2024-08-22 11:01,11243.857,88.48828887939453,69567.8,39.58308792114258,74023.83,20.765108108520508,24,79277.664,19.250804901123047,36529.785,64.28971099853516,84281.664,2.3395776748657227,10,72708.76,22.327512741088867,16551.47,77.82891082763672,69190.89,36.49951934814453,20,0.1,96,64,480,12,32,56,4,4,256,9,11,layer,none,False,8,True,40,256,0.0025,0.14,0.0015
2024-08-22 10:27,16456.83,85.13894653320312,87276.03,34.554203033447266,77208.74,36.50552749633789,22,75211.09,19.39195442199707,58079.844,40.49015045166016,73452.55,12.785005569458008,1,70381.39,19.71666717529297,23207.074,71.89154815673828,68877.9,36.23957824707031,7,0.25,96,64,288,12,32,52,3,4,256,5,11,batch,none,True,8,False,40,128,0.0033,0.14,0.0031
2024-08-22 10:14,6257.6533,93.45010375976562,70963.35,29.715187072753903,79848.21,11.964094161987305,40,80202.25,13.053417205810549,71102.56,34.40753173828125,77091.44,14.916622161865234,1,76542.61,17.372543334960938,43707.63,53.09590530395508,82503.44,26.920413970947266,2,0.25,96,64,224,12,48,52,5,4,256,7,11,layer,none,True,8,True,40,128,0.0029,0.16,0.0021
2024-08-22 10:56,10313.984,89.78471374511719,73026.8,39.76039123535156,76933.26,16.74485206604004,29,78468.625,39.6939582824707,22807.48,74.65361022949219,82307.414,38.51556015014648,17,69141.65,27.544801712036133,41011.06,52.56159210205078,86317.55,2.86899209022522,3,0.1,96,64,416,12,28,60,4,4,256,7,11,batch,none,False,8,False,50,256,0.0047,0.14,0.0005
2024-08-22 08:32,17145.412,82.84188842773438,90081.516,17.256534576416016,78804.75,18.72677230834961,17,77608.38,40.77678298950195,60685.926,49.6093864440918,77259.234,41.76579284667969,1,77038.125,19.124866485595703,21896.092,85.19880676269531,78306.23,27.45375061035156,22,0.1,96,64,224,12,40,48,5,4,192,5,5,layer,none,True,8,False,40,128,0.006,0.14,0.0017
2024-08-22 09:43,10572.073,88.04520416259766,77911.945,32.6304931640625,76553.11,24.983346939086918,27,82908.33,4.580926895141602,74687.4,26.44321823120117,78434.98,10.07264232635498,1,75105.88,15.2205171585083,34333.906,59.4508171081543,84072.83,11.472892761230469,2,0.15,96,64,224,12,48,36,5,4,256,9,11,batch,none,True,8,True,50,128,0.0022,0.12,0.0007
2024-08-22 08:36,10497.686,89.19245147705078,77996.29,30.054468154907227,77315.22,13.053584098815918,21,81737.37,15.110045433044434,65994.945,37.637393951416016,77062.945,24.311006546020508,1,76168.85,6.061995029449463,17359.818,80.44047546386719,76263.516,22.012250900268555,14,0.2,96,64,288,12,52,36,3,4,256,9,9,batch,none,False,8,True,40,128,0.0024,0.16,0.0008
2024-08-22 08:41,12514.882,85.52234649658203,80024.53,31.06196594238281,78308.58,18.31650161743164,22,76264.58,28.02984619140625,24132.648,72.4445571899414,72890.9,22.332334518432617,8,72890.9,22.332334518432617,24132.648,72.4445571899414,76264.58,28.02984619140625,8,0.15,96,64,224,12,64,52,5,4,128,9,5,batch,none,False,8,True,60,1024,0.0049,0.18,0.0029
2024-08-22 11:27,10811.528,88.35760498046875,77214.445,26.022403717041016,76599.54,16.229915618896484,29,88176.16,-6.426894664764404,82211.48,17.79184913635254,80710.69,3.1960487365722656,1,71699.75,20.28571891784668,23566.092,74.55756378173828,79474.83,29.165225982666016,5,0.2,96,64,352,12,32,48,3,4,192,9,9,batch,none,False,8,False,60,256,0.0016,0.16,0.0097
2024-08-22 11:31,7652.335,91.98955535888672,80448.805,30.139314651489254,74563.35,23.107540130615234,30,88988.836,-10.887468338012695,82039.96,14.280736923217772,81703.68,-1.3797879219055176,1,74236.5,21.202808380126957,9663.824,90.30268096923828,77532.01,32.875640869140625,26,0.15,96,64,416,12,24,56,3,4,192,9,11,batch,none,False,8,True,40,256,0.0013,0.14,0.0032
2024-08-22 09:54,11241.552,88.25689697265625,74702.305,33.69952392578125,77123.37,20.467042922973636,29,74480.484,33.66548538208008,21758.812,78.0792007446289,81074.46,20.103883743286133,17,77123.37,20.467042922973636,11241.552,88.25689697265625,74702.305,33.69952392578125,29,0.1,96,64,224,12,44,52,6,4,192,5,11,layer,none,False,8,False,50,1024,0.0013,0.14,0.0024
2024-08-22 11:07,7744.5576,91.60738372802734,76268.4,30.12424659729004,73639.22,23.299640655517575,32,72125.125,44.85185241699219,14890.968,85.07240295410156,75833.87,32.3913688659668,17,72065.266,27.43157768249512,12707.775,86.58695220947266,76565.414,33.03782272338867,20,0.2,96,64,480,12,28,48,3,4,256,7,5,batch,none,True,8,False,50,512,0.0012,0.16,0.0023
2024-08-22 10:37,9798.302,89.10017395019531,74316.81,30.26588630676269,74817.03,16.909963607788086,29,77133.766,22.324264526367188,27797.783,72.8450927734375,80248.06,13.509761810302734,13,73434.1,17.12143325805664,31349.662,63.32026672363281,74605.36,25.81596946716309,7,0.25,96,64,480,12,28,56,5,4,256,7,5,layer,none,True,8,True,60,512,0.0022,0.16,0.0026
2024-08-22 11:14,13804.821,84.90564727783203,78302.88,24.47195625305176,77903.016,15.010297775268556,20,79002.42,20.80366516113281,47681.914,58.11263275146485,82877.24,-1.645803451538086,10,75483.125,27.0118350982666,23952.986,77.05321502685547,75392.76,34.80759811401367,11,0.1,96,64,416,12,16,52,5,4,256,9,9,batch,none,True,8,False,50,512,0.0017,0.18,0.0032
2024-08-22 08:19,5236.2134,94.29502868652344,74181.305,37.40119934082031,77573.5,26.855342864990234,39,72417.56,38.22315216064453,8020.36,90.13155364990234,76540.74,25.80064582824707,29,76100.54,26.93476676940918,8344.487,90.16472625732422,74639.69,35.88500213623047,26,0.15,96,64,352,8,28,20,5,4,256,11,5,layer,none,False,8,True,40,512,0.0024,0.2,0.0002
2024-08-22 11:20,10474.511,89.35196685791016,75316.41,32.3535041809082,74221.836,25.055641174316406,24,88834.96,-10.073304176330566,82068.54,14.928370475769045,81510.89,-0.5369305610656738,1,71181.805,36.70089721679688,32176.46,75.67799377441406,87557.29,25.40542984008789,9,0.1,96,64,224,12,32,60,4,4,256,9,5,batch,none,True,8,False,60,256,0.0019,0.14,0.0029
2024-08-22 10:00,11636.0205,88.91323852539062,75790.83,29.37587547302246,76698.96,21.79486083984375,28,89381.99,-12.776649475097656,82030.82,12.774574279785156,82169.12,-3.309762477874756,1,75414.19,28.544681549072266,20968.12,80.14289093017578,80615.1,25.806421279907227,12,0.2,96,64,288,12,36,40,5,4,256,7,11,batch,none,True,8,True,60,256,0.0023,0.14,0.0057
2024-08-22 11:03,12798.441,85.89800262451172,77154.836,22.46339988708496,74195.32,19.785409927368164,21,89474.33,-13.211536407470703,82029.664,12.42526149749756,82280.21,-3.75748872756958,1,73206.15,9.25637435913086,18848.14,80.84552764892578,80152.805,20.369029998779297,16,0.15,96,64,416,12,40,64,4,4,256,9,5,layer,none,False,8,True,50,256,0.0022,0.18,0.003
2024-08-22 10:09,19470.39,78.84095001220703,81373.24,26.84434700012207,79253.664,22.65218544006348,14,87410.18,28.648292541503903,38292.195,65.9969711303711,89087.39,20.50702667236328,8,75750.99,11.22795295715332,25424.19,68.60701751708984,68468.19,31.448715209960938,7,0.1,96,64,224,12,48,48,6,4,256,7,5,layer,none,False,8,True,60,256,0.0038,0.12,0.0026
