exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,token_emb_kernel_size,comb_type,bs,dropout
2024-07-22 08:20,147.00311,56.48966598510742,498.64645,-34.82035446166992,434.59888,-30.508827209472656,19,396.49905,-13.048378944396973,313.4096,12.073152542114258,349.74728,-32.62006378173828,9,349.74728,-32.62006378173828,313.4096,12.073152542114258,396.49905,-13.048378944396973,9,21,0.0123,232,669,865,133,14,13,add,1100,
2024-07-23 04:43,143.06096,54.18766021728516,456.62466,-29.024147033691406,398.9649,-58.13618087768555,22,377.03848,-41.13205337524414,223.98294,5.744612693786621,334.80194,-69.75137329101562,12,319.8083,-33.31167984008789,300.88943,13.222264289855955,395.50296,-11.692352294921877,8,39,0.0128,351,889,831,97,7,15,add,1100,0.4762138763671436
2024-07-22 09:19,212.39352,31.37079429626465,499.47226,-25.89942741394043,412.86575,-42.85660552978516,17,405.3018,-3.217824459075928,273.44888,4.129475116729736,351.34177,-28.191200256347656,6,347.92386,-56.55141067504883,239.35725,8.686697006225586,409.96014,-28.64375114440918,8,31,0.0026,308,530,923,101,6,15,add,1100,
2024-07-22 08:35,161.75229,39.63188171386719,439.54453,-38.557613372802734,383.7073,-66.06773376464844,15,397.28418,-68.22550964355469,272.02875,-19.36941909790039,376.6895,-109.39258575439452,4,343.72137,-64.334716796875,257.96844,-13.102635383605955,388.68115,-34.370811462402344,6,30,0.0101,331,634,887,136,3,12,add,1100,
2024-07-23 03:12,157.37086,38.25625228881836,468.49863,-60.10878372192383,396.87503,-115.08196258544922,19,453.25964,-10.426926612854004,264.15063,-8.851069450378418,346.47058,-20.974384307861328,9,381.14172,-18.246675491333008,253.18323,6.711765289306641,460.29883,-8.411953926086426,10,35,0.0302,443,515,912,145,8,14,add,1100,0.4914488906164756
2024-07-22 22:23,184.23466,51.61050796508789,472.51495,-41.76081848144531,441.0298,-33.97303009033203,17,452.38004,-19.90331649780273,268.3668,25.95096969604492,421.8791,-18.57098960876465,12,409.7809,-1.821402072906494,283.2589,30.268945693969727,461.61758,-27.69054412841797,11,24,0.041,333,542,1047,81,24,14,add,1100,0.3559099829381097
2024-07-23 02:33,200.1561,42.70822143554688,501.04337,10.796984672546388,416.82358,3.041000843048096,14,392.54227,-12.48120403289795,295.51144,5.153526782989502,401.9899,-5.369699001312256,7,360.05655,-4.708629131317139,334.18402,-37.96070098876953,420.66666,-7.667129516601562,5,42,0.0174,422,812,1058,82,7,8,add,1100,0.4893697700853867
2024-07-23 02:42,169.07353,35.10513687133789,449.4242,-24.426469802856445,356.0766,-26.973451614379883,18,402.8147,-62.23733901977539,257.3608,-4.3106465339660645,347.5771,-37.907073974609375,9,331.74127,-47.85569763183594,363.12173,-21.8400936126709,424.53708,-84.0500259399414,8,34,0.0436,294,808,941,133,12,13,add,1100,0.4700058091319706
2024-07-23 19:29,126.37247,53.712921142578125,445.87396,-74.2585678100586,424.85596,-104.82462310791016,11,442.62936,-20.283544540405277,274.6619,-11.746092796325684,363.44318,-15.59493923187256,1,350.93945,-15.536940574645996,241.46246,5.82204008102417,412.43036,0.4862681329250335,2,25,0.0298,201,884,1000,97,8,13,add,128,0.5
2024-07-22 17:34,137.02989,50.08416748046875,458.49173,-50.72905349731445,399.43237,-43.59850692749024,19,391.42383,-24.50345039367676,293.7738,-16.620092391967773,362.11664,-43.98568344116211,7,351.1945,-42.35201644897461,248.74442,5.377725601196289,391.97238,-9.698299407958984,9,30,0.0132,192,742,965,130,4,12,add,1100,
2024-07-22 22:05,206.83339,17.727846145629883,443.23666,-20.112712860107425,400.21558,-19.96468544006348,16,374.0504,-28.625226974487305,240.92223,13.197421073913574,369.37015,-58.64299011230469,12,364.05444,-43.60429000854492,309.71912,-52.03428268432617,441.55524,-46.75716400146485,9,43,0.1001,370,881,1039,94,16,11,add,1100,0.3091367958384409
2024-07-22 03:52,183.94131,41.69060897827149,485.3715,-28.608243942260746,424.7866,-55.75457000732422,14,391.57626,-13.862298965454102,327.6856,2.994323253631592,372.05685,-72.0022964477539,9,385.98737,-9.440056800842283,198.21745,26.13210868835449,447.27222,5.129733562469482,12,24,0.0245,328,668,848,140,17,15,add,1100,
2024-07-22 07:58,154.33385,51.18573760986328,472.25455,-53.272796630859375,426.10284,-89.75762176513672,16,417.52243,-11.609426498413086,200.84012,35.8084831237793,396.53488,-33.63972473144531,10,387.30408,-35.09416961669922,278.42804,27.65697860717773,430.2198,-17.27364158630371,9,18,0.0097,312,608,907,130,16,13,add,1100,
2024-07-22 15:11,153.22635,43.07253646850586,447.0307,7.794445514678955,410.92795,3.660581350326538,16,378.90466,-11.562220573425291,253.38907,8.514732360839844,371.97247,-34.24081039428711,7,349.42612,-27.81106948852539,258.84723,14.650071144104004,394.25735,-2.082331895828247,5,26,0.0091,228,665,890,121,4,14,add,1100,
2024-07-22 11:17,176.00775,26.96689796447754,415.46878,-7.533056735992432,393.1088,-29.80959701538086,21,397.0057,-37.08937454223633,251.70634,-9.408404350280762,370.81815,-69.32310485839844,9,367.53174,-49.37594223022461,275.69098,-11.782978057861328,405.20328,-19.380571365356445,6,28,0.0038,226,591,913,111,2,12,add,1100,
2024-07-23 02:09,185.64017,33.78020477294922,436.40125,-32.012664794921875,382.34134,-76.01331329345703,12,435.25064,-54.11363220214844,215.89084,12.290921211242676,378.6142,-107.1175308227539,8,361.2545,-88.70330810546875,223.73817,-0.5219483971595764,464.9724,-49.22151565551758,7,43,0.006,293,589,1115,109,5,7,add,1100,0.3063706179827145
2024-07-22 09:14,173.05481,33.30378723144531,492.88477,-33.581295013427734,409.52557,-94.0284652709961,14,418.79764,-15.081313133239746,331.53177,-14.30950164794922,407.08005,-26.434675216674805,4,379.005,-88.9289779663086,307.2366,2.526864051818848,447.5546,-24.57579803466797,8,31,0.0103,320,567,874,106,7,14,add,1100,
2024-07-22 20:19,176.49715,11.626222610473633,468.94992,-61.6844596862793,373.04425,-48.7816047668457,21,398.9177,-19.908876419067383,223.65652,13.541790962219238,354.59143,-25.410202026367188,13,329.8986,-28.62294578552246,267.35162,0.1427778303623199,410.2617,-20.40038299560547,8,32,0.0322,161,855,968,152,4,10,add,1100,
2024-07-23 19:51,165.92365,45.70075607299805,517.4879,-46.09651565551758,413.3805,-2.170475959777832,9,432.25806,-20.590944290161133,265.70056,-0.3178689181804657,332.77148,-42.68946838378906,4,332.77148,-42.68946838378906,265.70056,-0.3178689181804657,432.25806,-20.590944290161133,4,52,0.0598,144,608,956,92,19,10,add,128,0.5
2024-07-22 01:16,181.29596,48.014766693115234,480.28894,-75.7424545288086,453.0122,-78.1430892944336,22,405.96808,-0.5425883531570435,210.07635,29.06242561340332,425.5127,-3.803049087524414,12,435.3014,-64.09811401367188,830.41205,-75.87002563476562,708.7598,-73.51548767089844,8,22,0.0152,290,704,803,135,23,12,add,1100,
2024-07-23 02:15,240.02148,-15.33123016357422,405.01865,-66.53504180908203,367.6461,-74.47098541259766,12,429.28775,-28.107357025146484,295.21725,17.18536376953125,366.11255,-52.07481384277344,11,67393790.0,-36147064.0,157855820.0,-55094960.0,70524750.0,-41908628.0,1,41,0.151,389,1014,826,105,15,12,add,1100,0.4197187801328847
2024-07-23 01:33,204.47058,7.251619815826416,459.2346,-26.22481346130371,357.8523,-36.205326080322266,13,747.69995,-319.552001953125,2125.3992,-532.8659057617188,771.09625,-328.6884460449219,1,771.09625,-328.6884460449219,2125.3992,-532.8659057617188,747.69995,-319.552001953125,1,29,0.018,315,977,834,106,7,10,add,1100,0.4515577196454546
2024-07-22 15:38,175.95966,43.57125473022461,481.67966,-14.643857955932615,404.35632,-25.383081436157227,15,412.05496,-5.153573989868164,374.91412,-3.847865104675293,332.09048,-44.074649810791016,5,337.81967,-21.54666328430176,278.07352,0.8185097575187683,412.87335,-15.378528594970703,6,33,0.0129,191,696,911,136,6,13,add,1100,
