time,power
2024-01-02 11:00:00,130250.69000000002
2024-01-02 11:15:00,124741.11999999998
2024-01-02 11:30:00,108771.82
2024-01-02 11:45:00,109866.065
2024-01-02 12:00:00,107272.55000000002
2024-01-02 12:15:00,93871.79
2024-01-02 12:30:00,81264.64000000001
2024-01-02 12:45:00,68496.84999999999
2024-01-02 13:00:00,60840.104999999996
2024-01-02 13:15:00,54094.42
2024-01-02 13:30:00,58620.8
2024-01-02 13:45:00,68251.34
2024-01-02 14:00:00,79256.53
2024-01-02 14:15:00,86783.63000000002
2024-01-02 14:30:00,79538.48
2024-01-02 14:45:00,77655.6275
2024-01-02 15:00:00,76965.21999999999
2024-01-02 15:15:00,82798.04500000003
2024-01-02 15:30:00,85111.42999999998
2024-01-02 15:45:00,89293.56500000005
2024-01-02 16:00:00,84184.12999999999
2024-01-02 16:15:00,85865.605
2024-01-02 16:30:00,86028.42000000003
2024-01-02 16:45:00,98366.87999999998
2024-01-02 17:00:00,97339.81
2024-01-02 17:15:00,76492.22249999999
2024-01-02 17:30:00,63345.860000000015
2024-01-02 17:45:00,56151.75500000001
2024-01-02 18:00:00,55966.01999999999
2024-01-02 18:15:00,55078.29
2024-01-02 18:30:00,55287.41999999999
2024-01-02 18:45:00,66466.6
2024-01-02 19:00:00,90558.06
2024-01-02 19:15:00,112806.77999999996
2024-01-02 19:30:00,112976.12999999999
2024-01-02 19:45:00,87092.54
2024-01-02 20:00:00,74966.81
2024-01-02 20:15:00,61550.95250000002
2024-01-02 20:30:00,52779.51
2024-01-02 20:45:00,43098.39
2024-01-02 21:00:00,42974.59
2024-01-02 21:15:00,44330.75999999998
2024-01-02 21:30:00,42074.409999999996
2024-01-02 21:45:00,45751.710000000014
2024-01-02 22:00:00,51642.22999999999
2024-01-02 22:15:00,44794.71999999999
2024-01-02 22:30:00,44688.84999999999
2024-01-02 22:45:00,43824.50500000002
2024-01-02 23:00:00,44683.72000000001
2024-01-02 23:15:00,40166.14
2024-01-02 23:30:00,44959.94999999999
2024-01-02 23:45:00,44886.35000000001
2024-01-03 00:00:00,40546.44
2024-01-03 00:15:00,39405.345000000016
2024-01-03 00:30:00,37431.56
2024-01-03 00:45:00,34980.595
2024-01-03 01:00:00,35044.17
2024-01-03 01:15:00,34848.0775
2024-01-03 01:30:00,31050.59999999999
2024-01-03 01:45:00,35790.29499999999
2024-01-03 02:00:00,40156.840000000004
2024-01-03 02:15:00,40546.26000000001
2024-01-03 02:30:00,36521.42
2024-01-03 02:45:00,29685.289999999994
2024-01-03 03:00:00,29640.329999999998
2024-01-03 03:15:00,32362.545000000006
2024-01-03 03:30:00,36570.58
2024-01-03 03:45:00,35897.642499999994
2024-01-03 04:00:00,32890.26999999999
2024-01-03 04:15:00,24097.644999999997
2024-01-03 04:30:00,23862.055000000004
2024-01-03 04:45:00,31221.64999999999
2024-01-03 05:00:00,34439.81999999999
2024-01-03 05:15:00,25292.51250000001
2024-01-03 05:30:00,27728.490000000005
2024-01-03 05:45:00,37703.697499999995
2024-01-03 06:00:00,48680.36
2024-01-03 06:15:00,56986.979999999996
2024-01-03 06:30:00,82732.35
2024-01-03 06:45:00,96568.01499999998
2024-01-03 07:00:00,85804.87999999999
2024-01-03 07:15:00,103403.33249999997
2024-01-03 07:30:00,99982.36999999998
2024-01-03 07:45:00,94500.93749999997
2024-01-03 08:00:00,102773.58
2024-01-03 08:15:00,113448.62999999999
2024-01-03 08:30:00,131219.65499999997
2024-01-03 08:45:00,160205.12000000005
2024-01-03 09:00:00,189167.66000000003
2024-01-03 09:15:00,179757.255
2024-01-03 09:30:00,174990.35000000003
2024-01-03 09:45:00,153687.18999999997
2024-01-03 10:00:00,123033.54000000002
2024-01-03 10:15:00,157935.16999999998
2024-01-03 10:30:00,171651.75000000003
2024-01-03 10:45:00,186650.08499999996
2024-01-03 11:00:00,189748.53999999992
2024-01-03 11:15:00,172816.88499999998
2024-01-03 11:30:00,160988.52000000002
2024-01-03 11:45:00,144392.37
2024-01-03 12:00:00,115047.24000000003
2024-01-03 12:15:00,119980.04000000001
2024-01-03 12:30:00,119995.92
2024-01-03 12:45:00,127704.47500000002
2024-01-03 13:00:00,110466.82
2024-01-03 13:15:00,94609.26500000003
2024-01-03 13:30:00,68827.44
2024-01-03 13:45:00,54876.94
2024-01-03 14:00:00,53712.829999999994
2024-01-03 14:15:00,49589.834999999985
2024-01-03 14:30:00,43095.31
2024-01-03 14:45:00,42442.45000000001
2024-01-03 15:00:00,46832.740000000005
2024-01-03 15:15:00,34503.56500000001
2024-01-03 15:30:00,24386.280000000006
2024-01-03 15:45:00,18823.685000000005
2024-01-03 16:00:00,19230.655000000002
2024-01-03 16:15:00,22063.575000000004
2024-01-03 16:30:00,29388.18
2024-01-03 16:45:00,29338.065000000002
2024-01-03 17:00:00,28168.37
2024-01-03 17:15:00,34545.87499999999
2024-01-03 17:30:00,40526.92999999999
2024-01-03 17:45:00,42276.56000000001
2024-01-03 18:00:00,45424.93999999997
2024-01-03 18:15:00,48394.994999999995
2024-01-03 18:30:00,44997.479999999996
2024-01-03 18:45:00,45295.01749999999
2024-01-03 19:00:00,52892.48
2024-01-03 19:15:00,59787.69000000002
2024-01-03 19:30:00,69505.43000000001
2024-01-03 19:45:00,62423.505000000005
