exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,token_emb_kernel_size,dropout,comb_type,bs
2024-08-02 16:16,17956.475,81.48804473876953,78603.19,35.269527435302734,82496.35,38.34594345092773,19,79311.31,37.21749877929688,27318.805,72.51526641845703,84219.2,38.25414276123047,12,70915.16,32.110313415527344,49056.508,47.60628128051758,72908.0,33.86818313598633,7,16,0.005,368,852,752,128,17,11,0.64,add,512
2024-08-02 16:29,38074.242,62.97877502441406,91337.99,34.446128845214844,77694.984,42.0880012512207,10,82261.12,21.080135345458984,73084.48,29.3520450592041,75373.82,29.0880126953125,1,75373.82,29.0880126953125,73084.48,29.3520450592041,82261.12,21.080135345458984,1,28,0.003,228,752,572,64,11,11,0.68,add,1024
2024-08-03 00:27,15846.675,83.53129577636719,80267.33,29.197509765625,81452.72,15.62588882446289,19,80806.78,32.09702682495117,21371.885,77.68218994140625,78149.56,21.867895126342773,11,74995.64,51.276485443115234,57734.434,56.69204330444336,83191.19,44.90288162231445,1,16,0.002,308,892,552,256,15,9,0.47,add,512
2024-08-03 04:49,25345.11,74.0751953125,77523.734,45.12946319580078,76443.336,36.72452545166016,11,72488.72,51.28636169433594,51442.58,48.41735458374024,67437.74,44.88903045654297,1,67437.74,44.88903045654297,51442.58,48.41735458374024,72488.72,51.28636169433594,1,28,0.005,308,712,692,64,16,12,0.49,add,1024
2024-08-02 18:11,14970.162,84.05248260498047,86028.664,22.836977005004883,78669.95,22.69501304626465,19,1138351.9,-702.1858520507812,441937.1,-252.54486083984372,410772.0,-442.7091979980469,1,78292.31,19.51238441467285,18916.447,79.54068756103516,91112.695,16.124618530273438,13,28,0.008,288,772,772,128,18,9,0.43,add,512
2024-08-03 03:24,32045.766,66.78868865966797,83242.25,32.419158935546875,80568.08,28.30733108520508,10,83933.21,19.98909568786621,77236.28,31.952260971069336,77131.44,26.11173248291016,1,77131.44,26.11173248291016,77236.28,31.952260971069336,83933.21,19.98909568786621,1,8,0.003,388,792,712,64,17,13,0.52,add,1024
2024-08-02 19:47,14149.411,85.13038635253906,75910.234,29.60968971252441,89107.03,-1.671806812286377,20,74712.41,33.044734954833984,24328.396,74.04900360107422,93689.28,9.763585090637209,9,88143.484,1.2733653783798218,14952.412,84.60820770263672,76400.82,30.4096736907959,16,28,0.007,248,872,872,128,15,11,0.44,add,512
2024-08-02 21:31,11992.908,87.9104995727539,69423.766,41.91365814208984,75505.5,26.371286392211918,32,69364.516,41.48460006713867,16047.665,83.62384796142578,74017.31,30.289087295532227,22,74017.31,30.289087295532227,16047.665,83.62384796142578,69364.516,41.48460006713867,22,16,0.003,448,792,772,128,16,10,0.45,add,512
2024-08-03 04:24,19515.666,79.5551986694336,73224.21,23.199512481689453,86160.97,-3.745924472808838,20,72382.61,31.265214920043945,24336.535,78.0275650024414,79906.086,18.779726028442383,15,86741.03,31.9764461517334,122271.16,13.270502090454102,99280.36,19.93924331665039,1,28,0.009,408,632,592,64,15,11,0.51,add,512
2024-08-02 23:49,25376.426,75.16352844238281,79454.195,39.259422302246094,81713.81,28.815467834472656,10,72799.28,30.068775177001957,59455.336,32.4974365234375,71640.18,30.06903648376465,1,71640.18,30.06903648376465,59455.336,32.4974365234375,72799.28,30.068775177001957,1,16,0.002,228,732,672,128,15,10,0.5,add,512
