exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,skip_mode,True,False,16,0.005,48,96,512,32,4,12,13,128,11dropout,norm_type,num_heads,bs,0.001,64,8,6,9,5dropout,256,9dropout,conv,mha,mlp,use_pos,seq_len,lr,d,hid_d,last_d,tok_d,time_d,pos_d,e_layers,tok_conv_k,conv_out_d,feat_conv_k,dropout
2024-08-17 23:28,59027.996,47.1783447265625,83027.32,35.74674606323242,106485.57,16.633642196655273,12,90130.17,-6.521326065063477,82093.18,10.463912963867188,82884.72,-2.5479073524475098,1,82884.72,-2.5479073524475098,82093.18,10.463912963867188,90130.17,-6.521326065063477,1,conv_mlpconv,mha,seq_len,e_layers,d,,time_d,tok_d,,,tok_conv_k,conv_out_d,feat_conv_k,0.1,batch,8,1024,,hid_d,pos_d,,,,,,,,,,,,,,,,,,,,,,
2024-08-17 23:13,11739.834,87.76725006103516,77799.17,33.50094223022461,79455.41,9.188215255737305,40,78635.04,40.2387809753418,36369.496,75.50035095214844,78059.89,19.39010429382324,26,78059.89,19.39010429382324,36369.496,75.50035095214844,78635.04,40.2387809753418,26,conv_mlpconv,mlp,seq_len,lr,d,,,tok_d,,e_layers,,,,,batch,4,1024,,feat_conv_k,tok_conv_k,,conv_out_d,0.1,,,,,,,,,,,,,,,,,,,
2024-08-18 00:01,19594.148,81.33622741699219,80921.22,25.74879264831543,80026.63,11.657957077026367,20,82680.3,33.96394729614258,43195.13,56.28738021850586,93798.625,20.154211044311523,6,75947.77,23.539609909057617,61003.582,46.90078353881836,74773.086,27.72881126403809,5,conv_mlpconv,mha,seq_len,lr,d,,hid_d,,time_d,e_layers,,conv_out_d,,,batch,8,1024,,feat_conv_k,tok_conv_k,,,0.2,tok_d,,,,,,,,,,,,,,,,,,
2024-08-17 23:52,44529.277,47.93828582763672,92529.4,35.66503143310547,92582.43,28.4205322265625,18,88453.586,0.6482686996459961,82189.37,16.980491638183594,80837.82,5.429148674011231,1,80837.82,5.429148674011231,82189.37,16.980491638183594,88453.586,0.6482686996459961,1,conv_mlpconv,mlp,seq_len,lr,d,,,tok_d,,,,conv_out_d,,,batch,8,1024,,last_d,tok_conv_k,,,0.2,feat_conv_k,,,,,,,,,,,,,,,,,,
2024-08-17 23:20,9580.948,89.59090423583984,76355.945,40.13661575317383,71607.14,29.923702239990234,38,74708.8,40.322078704833984,19400.922,76.890625,76320.664,23.772296905517575,20,70429.09,37.48247528076172,14725.237,86.26286315917969,78232.92,40.51799392700195,27,conv_mlpconv,use_pos,seq_len,lr,d,,hid_d,,,,,,feat_conv_k,,batch,16,1024,,time_d,tok_conv_k,,conv_out_d,,tok_d,0.2,,,,,,,,,,,,,,,,,
2024-08-17 23:17,11458.447,88.40953826904297,79207.23,38.90934371948242,83429.266,23.69244956970215,37,75871.02,38.54092788696289,19897.484,79.25218963623047,87861.35,11.139145851135254,24,80383.6,7.536112308502197,82319.26,18.70216178894043,88093.33,2.5298006534576416,1,conv_mlpconv,seq_len,use_pos,lr,d,,last_d,,pos_d,,,,tok_d,0.1,batch,8,1024,,,e_layers,tok_conv_k,conv_out_d,,feat_conv_k,,,,,,,,,,,,,,,,,,
2024-08-17 23:45,82268.51,18.082275390625,88215.664,1.8698792457580569,80538.695,6.796405792236328,2,88237.734,1.7532904148101809,82260.125,17.948022842407227,80566.58,6.665787220001221,1,80566.58,6.665787220001221,82260.125,17.948022842407227,88237.734,1.7532904148101809,1,conv_mlpconv,seq_len,use_pos,pos_d,,,hid_d,tok_d,time_d,e_layers,tok_conv_k,,,0.2,batch,16,1024,d,last_d,,,conv_out_d,,feat_conv_k,,,,,,,,,,,,,,,,,,
2024-08-17 22:55,11107.252,88.47219848632812,72813.555,41.4827880859375,82757.125,15.473684310913086,47,69777.234,45.45703125,17337.713,82.19959259033203,80618.06,27.496990203857425,25,73663.484,15.222323417663574,71937.734,34.12437057495117,81736.125,19.803302764892575,6,conv_mlpconv,seq_len,use_pos,lr,,hid_d,last_d,tok_d,,pos_d,,,,,batch,32,1024,d,feat_conv_k,tok_conv_k,,conv_out_d,0.2,,,,,,,,,,,,,,,,,,,
2024-08-17 23:33,42952.305,56.17613983154297,70839.85,46.94496154785156,77515.11,35.212738037109375,49,68800.516,42.5348014831543,46269.316,49.60750961303711,74299.87,34.75686264038086,40,74834.836,30.82253074645996,78046.23,-4.704367637634277,71089.9,38.336082458496094,27,fullconv,seq_len,use_pos,lr,d,,,tok_d,,e_layers,tok_conv_k,conv_out_d,,,batch,32,1024,,feat_conv_k,time_d,,,0.2,,,,,,,,,,,,,,,,,,,
2024-08-17 23:40,9561.263,89.84540557861328,75548.59,45.69709014892578,79740.26,24.49248504638672,40,75988.62,46.44293975830078,14883.414,85.5519027709961,79402.29,28.078073501586918,24,79690.64,30.097700119018555,11861.9,87.94049835205078,77161.12,48.40958786010742,32,fullconv,mlp,seq_len,lr,d,,last_d,,pos_d,e_layers,,,tok_d,,batch,8,1024,,feat_conv_k,time_d,tok_conv_k,conv_out_d,0.1,,,,,,,,,,,,,,,,,,,
