exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,skip_mode,conv,mha,mlp,use_pos,seq_len,lr,d,hid_d,last_d,tok_d,time_d,pos_d,e_layers,tok_conv_k,conv_out_d,feat_conv_k,dropout,norm_type,num_heads,bs
2024-08-18 02:14,6616.77,92.94180297851562,73232.46,41.59293746948242,76819.58,25.709108352661133,48,72869.32,42.25627136230469,7466.8545,92.24674224853516,77498.82,27.978591918945312,40,73310.43,17.09952735900879,17398.178,80.88374328613281,77037.18,41.56295394897461,19,conv_mlp,True,False,False,False,16,0.0008,96,48,256,64,16,8,8,11,64,13,0.2,batch,16,1024
2024-08-18 01:51,9622.516,90.13485717773438,69984.2,50.3460807800293,80742.055,25.93766975402832,50,68955.664,50.27885818481445,11743.811,87.7196044921875,80167.83,27.35759925842285,35,80843.625,5.403301239013672,82188.05,16.963239669799805,88458.234,0.6251689195632935,1,none   ,True,False,True,True,16,0.0008,48,96,128,8,8,4,6,9,128,11,0.1,batch,8,1024
2024-08-18 04:38,9467.161,90.23605346679688,74255.47,42.2163314819336,78197.81,24.216516494750977,35,73975.63,42.85806655883789,14505.526,86.57050323486328,75129.12,25.616609573364254,29,78182.51,19.13224220275879,10658.834,88.18331909179688,74208.28,38.28977584838867,30,full,True,False,True,True,16,0.003,96,64,128,16,8,8,12,11,64,9,0.2,layer,32,1024
2024-08-18 11:42,79484.7,14.874863624572754,89095.84,-2.0307719707489014,81537.68,2.4404051303863525,16,88096.83,2.5105526447296143,82317.7,18.662616729736328,80388.055,7.514533519744873,1,73225.59,10.828981399536133,85644.36,10.013350486755373,89428.37,3.401864767074585,15,none   ,True,False,True,False,16,0.0008,48,64,128,64,8,4,8,11,128,11,0.1,batch,16,1024
2024-08-18 14:24,17280.932,82.38682556152344,97489.03,35.252227783203125,74721.484,22.21712684631348,23,88187.99,2.293546676635742,82352.67,18.66520118713379,80053.13,7.885178565979004,1,72474.164,26.069395065307617,34320.625,68.91381072998047,171446.22,8.200797080993652,10,none   ,True,False,True,False,24,0.001,16,48,256,8,4,4,4,9,128,9,0.1,batch,4,1024
2024-08-18 08:38,16264.325,85.48858642578125,77331.43,46.1070442199707,74431.51,34.41913986206055,21,79770.85,42.10609817504883,17582.252,80.96353912353516,75309.66,30.961669921875,20,68808.65,33.961063385009766,36343.83,57.885990142822266,75350.55,45.39314270019531,6,full,True,False,False,True,16,0.0008,16,64,256,96,4,16,6,9,128,9,0.1,batch,16,1024
2024-08-18 05:37,8438.513,91.20490264892578,74501.53,42.13346481323242,75247.586,33.20252990722656,42,74523.15,43.91240692138672,9044.736,90.80184173583984,75624.75,34.31179428100586,38,72003.445,33.97447967529297,17874.342,82.9000244140625,75615.21,44.97409439086914,18,none   ,True,False,True,True,16,0.003,16,96,128,8,16,16,6,9,64,13,0.1,layer,16,1024
2024-08-18 01:45,18518.967,82.8277359008789,79553.21,29.009082794189453,76555.32,8.108787536621094,19,74054.67,42.84954833984375,29819.451,70.78109741210938,85410.1,30.693641662597656,15,73478.26,41.827430725097656,28311.574,74.97579956054688,75675.14,43.8687858581543,14,full,True,False,False,True,16,0.005,64,96,128,32,4,4,6,9,128,11,0.2,layer,16,1024
2024-08-18 02:42,56787.816,41.31255340576172,98910.91,34.42911148071289,97336.36,19.187915802001957,16,89243.5,-2.976309299468994,82064.195,13.672231674194336,81812.9,1.3870849609375,1,81812.9,1.3870849609375,82064.195,13.672231674194336,89243.5,-2.976309299468994,1,none   ,True,False,True,True,16,0.001,16,64,256,96,16,16,12,5,128,13,0.1,batch,4,1024
2024-08-18 11:56,11608.007,88.38754272460938,78395.02,30.43927764892578,74168.13,26.888458251953125,23,71926.164,29.092161178588867,35441.71,61.89722442626953,89742.37,-14.398770332336426,9,70251.42,40.2737922668457,37194.2,58.8621826171875,73003.08,49.340423583984375,8,conv_mlp,True,False,True,True,16,0.0008,96,96,128,64,16,8,6,11,128,13,0.1,layer,16,1024
2024-08-18 15:05,7954.475,91.72476959228516,73774.195,41.5634880065918,78249.56,9.26663303375244,39,72927.734,39.48783493041992,12039.722,87.50370788574219,75641.54,12.198383331298828,25,71211.37,35.840213775634766,27311.97,73.1588134765625,77107.75,46.21273040771485,8,full,True,False,False,False,24,0.001,96,96,256,16,8,4,4,9,256,11,0.1,layer,32,1024
2024-08-18 11:17,7701.863,92.31543731689452,74717.08,42.14071273803711,74633.34,32.77659606933594,44,75500.29,43.72105026245117,10875.657,89.83747863769531,74640.69,33.64011001586914,33,72907.24,23.39403533935547,17944.377,83.83651733398438,79732.75,34.62361145019531,21,conv_mlp,True,False,True,False,16,0.003,64,64,128,16,16,16,6,5,128,11,0.2,layer,8,1024
2024-08-18 02:46,11704.6455,87.40033721923828,77820.6,37.65866088867188,71029.57,20.99467658996582,40,73643.95,41.02128219604492,21707.14,78.15116119384766,72783.43,14.57450008392334,26,69620.78,35.28822326660156,24620.863,76.54503631591797,75699.03,44.96223068237305,18,none   ,True,False,False,True,16,0.003,96,96,256,8,8,16,8,5,64,13,0.2,batch,32,1024
2024-08-18 02:08,7258.0605,92.5488052368164,77310.63,38.31877517700195,73725.75,41.510196685791016,42,77378.66,39.15494155883789,8430.919,91.53986358642578,73828.016,42.65800857543945,36,73618.78,44.59489059448242,17937.78,80.61476135253906,81426.4,41.44085311889648,22,conv_mlp,True,False,False,True,16,0.001,16,96,128,8,4,4,12,9,64,13,0.2,layer,32,1024
