exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,test_rmse_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,test_rmse_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,val_rmse_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,comb_type,bs
2024-07-17 04:27,305.59186,-1.015724778175354,583.12,378.3928,14,458.54056,-114.33516693115234,203.48369,274.94022,11,274.94022,-6.242125988006592,203.48369,458.54056,11,8,0.1,32,64,128,32,8,add,1100
2024-07-17 04:09,170.52591,27.44059181213379,448.08325,251.9921,17,409.3285,-32.01418685913086,239.13062,281.98306,12,281.98306,22.699745178222656,239.13062,409.3285,12,8,0.05,32,64,128,32,6,add,1100
2024-07-17 00:03,798.2181,-68.74110412597656,728.12897,784.7404,10,408.538,-113.9333267211914,237.79588,281.01358,8,288.07742,8.743230819702148,234.87071,438.18552,9,8,0.08,32,64,64,32,8,add,1100
2024-07-17 05:28,245.09204,-97.66278839111328,399.82794,283.38632,8,1528.548,-314.7465515136719,10312.376,9247.406,12,305.52252,-104.8526611328125,272.66,410.33344,9,16,0.2,32,64,128,32,4,add,1100
2024-07-17 07:59,472.0003,-225.34176635742188,507.7453,479.75912,13,421.41537,-57.36660385131836,231.66637,280.65552,9,479.75912,-96.15711975097656,472.0003,507.7453,13,24,0.08,32,256,32,32,8,add,1100
2024-07-16 22:31,369.35336,-136.15626525878906,427.1443,381.73654,9,396.90796,-202.8325958251953,300.60687,322.5874,8,322.5874,-68.03916931152344,300.60687,396.90796,8,16,0.1,32,128,256,32,2,add,1100
2024-07-17 03:56,314.82547,-115.7517547607422,438.2089,343.56647,7,528142.75,-529677.75,540164.4,539130.0,1,653.18835,-227.70138549804688,613.7265,791.69336,8,24,0.2,32,128,512,32,12,add,1100
2024-07-16 19:37,422.63556,11.926036834716797,533.144,447.40686,12,532.26434,-123.75198364257812,532.4251,532.6879,1,447.40686,-5.989497184753418,422.63556,533.144,12,8,0.08,32,128,128,64,8,add,1100
2024-07-17 05:50,621.486,-486.0313720703125,576.4248,612.388,11,431.5438,-70.34709167480469,252.8925,298.3094,8,298.3094,0.3790541887283325,252.8925,431.5438,8,24,0.1,32,64,128,32,6,add,1100
2024-07-17 06:21,234.3507,-1.8558109998703003,466.24823,296.26346,14,428.29306,-124.05503845214844,243.21428,290.47485,11,275.6088,1.9114149808883667,207.54941,452.8154,13,8,0.1,32,256,32,32,6,add,1100
2024-07-17 00:33,248.25784,-13.208545684814451,429.6298,294.43286,9,1478.7725,-89.35346221923828,2765.7515,2560.3613,10,2560.3613,-111.32403564453124,2765.7515,1478.7725,10,8,0.2,32,64,64,32,12,add,1100
2024-07-16 23:13,234.32695,-89.2279052734375,483.88235,301.00165,14,482.74408,-255.62136840820312,202.23912,281.71954,11,300.39114,-52.0577507019043,230.91098,488.19174,13,24,0.05,32,64,32,64,8,add,1100
2024-07-17 01:22,563.8769,-123.47176361083984,614.07184,574.5459,10,614.07184,19.19254493713379,563.8769,574.5459,10,574.5459,-34.670772552490234,563.8769,614.07184,10,24,0.08,32,128,256,64,12,add,1100
2024-07-17 00:59,212.09468,-40.12524032592773,404.94815,262.8831,9,444.85217,-296.5937805175781,220.77307,280.53183,10,280.53183,-60.71931838989258,220.77307,444.85217,10,16,0.15,32,64,64,32,6,add,1100
2024-07-17 08:39,133.86136,14.384820938110352,484.10892,247.7114,23,503.1766,-140.0511932373047,144.62051,260.0456,18,247.82498,25.58247947692871,127.53557,490.80386,22,8,0.05,32,256,32,64,4,add,1100
2024-07-17 07:12,364.11414,-5.713016986846924,516.11743,399.35632,7,463.99023,-239.56686401367188,474.08185,472.2449,1,1355.6775,-164.89111328125,1434.5784,979.7335,2,16,0.08,32,64,128,64,12,add,1100
2024-07-16 22:22,310.5936,-25.98171043395996,446.81943,342.93396,10,422.6751,-155.9971466064453,233.48973,282.32275,7,499.29532,-153.6914520263672,500.40714,494.004,12,8,0.2,32,64,32,64,4,add,1100
2024-07-17 03:47,217.13812,-51.393680572509766,416.52368,269.44455,8,656.43524,-90.8164520263672,1020.7766,959.0321,3,269.44455,-31.623367309570312,217.13812,416.52368,8,24,0.15,32,64,64,64,4,add,1100
2024-07-17 06:02,363.51724,-256.3073425292969,483.21024,390.34027,8,816.4597,-648.2542114257812,1135.2128,1078.5868,9,1078.5868,-580.9835205078125,1135.2128,816.4597,9,24,0.18,32,64,128,32,6,add,1100
2024-07-17 04:17,225.18567,-87.86103057861328,418.81146,275.44186,11,450.94342,-183.49122619628903,324.80106,354.11877,6,354.11877,-50.01632690429688,324.80106,450.94342,6,8,0.08,32,64,128,32,6,add,1100
2024-07-17 04:27,465.3016,-302.1826477050781,490.94183,470.5788,11,1859.297,-1171.86865234375,1135.5812,1313.0131,1,311.40866,-0.0598791278898716,268.9745,439.64426,9,8,0.18,32,128,512,64,6,add,1100
2024-07-17 01:20,3662.8672,-478.33203125,1101.6036,3312.1475,10,497.52353,-98.90615844726562,344.5208,380.80597,8,380.80597,-39.15010452270508,344.5208,497.52353,8,24,0.08,32,128,256,64,8,add,1100
2024-07-17 00:08,172.9228,17.408695220947266,452.9993,255.36699,13,418.28564,-113.1014404296875,265.00803,302.40308,8,302.40308,-25.453975677490234,265.00803,418.28564,8,8,0.1,32,64,64,32,4,add,1100
2024-07-17 03:39,386.805,-22.334083557128903,511.83267,415.0089,7,544.8045,-13.869461059570312,1108.5614,1021.0653,2,1021.0653,-88.22460174560547,1108.5614,544.8045,2,24,0.08,32,64,64,64,12,add,1100
2024-07-17 07:54,551.594,-105.8306121826172,645.9272,571.37366,7,1130.2362,-330.5378112792969,2241.7144,2067.123,2,2067.123,-277.53680419921875,2241.7144,1130.2362,2,24,0.08,32,64,128,64,12,add,1100
2024-07-17 03:32,210.29848,11.95533847808838,500.52493,293.10254,7,505.72586,-158.1797637939453,524.47437,521.074,2,312.15494,-3.782465934753418,253.26309,477.67734,6,24,0.05,32,64,64,64,8,add,1100
2024-07-17 00:20,2384.9531,-785.5504760742188,666.4144,2153.788,12,386.5302,-114.55716705322266,237.4313,274.38913,8,272.4092,-31.788705825805664,229.63733,397.8515,9,8,0.18,32,64,64,32,2,add,1100
2024-07-17 03:30,472.1908,-154.63626098632812,502.92737,478.61578,7,417.3803,-22.97026252746582,303.20392,330.1738,9,330.1738,-2.083298683166504,303.20392,417.3803,9,24,0.08,32,128,512,32,12,add,1100
2024-07-17 01:17,1672.3953,-436.4950866699219,2574.408,1886.154,13,2085.181,-2019.487060546875,8229.357,7418.1157,1,363.14966,-75.05974578857422,330.22025,471.10074,9,16,0.2,32,64,64,32,12,add,1100
2024-07-17 02:08,224.21423,-7.856655120849609,437.6471,281.0574,11,437.6471,-44.14178466796875,224.21423,281.0574,11,281.0574,2.0320770740509038,224.21423,437.6471,11,8,0.1,32,128,512,32,8,add,1100
2024-07-17 04:41,299.96567,-2.507002830505371,481.46875,344.75464,10,481.46875,-38.936317443847656,299.96567,344.75464,10,344.75464,6.56456470489502,299.96567,481.46875,10,8,0.18,32,64,128,32,6,add,1100
2024-07-16 23:40,483.8111,-55.47262954711914,443.58963,476.4394,7,504.8332,-300.7856140136719,396.61646,420.31186,9,420.31186,-102.42830657958984,396.61646,504.8332,9,24,0.2,32,128,256,32,12,add,1100
2024-07-16 23:36,169.53073,-3.146432399749756,489.32822,265.97565,19,681.9684,11.99331760406494,761.0565,745.98456,21,273.67877,-59.371055603027344,200.60025,462.36884,20,24,0.15,32,64,32,64,12,add,1100
2024-07-17 00:58,380.1944,-291.4901123046875,538.3292,416.52518,9,538.3292,-495.6250305175781,380.1944,416.52518,9,416.52518,-214.40382385253903,380.1944,538.3292,9,16,0.15,32,64,64,32,4,add,1100
2024-07-17 08:15,7625.5986,-8905.564453125,3044.334,6952.73,11,3044.334,-2168.03857421875,7625.5986,6952.73,11,6952.73,-4206.19482421875,7625.5986,3044.334,11,24,0.18,32,64,128,64,12,add,1100
2024-07-17 00:50,818.5646,-767.7276000976562,995.2715,856.63257,14,428.66263,-18.64608192443848,282.4463,318.09058,9,265.8576,-36.35894012451172,205.68675,427.0928,13,16,0.1,32,64,64,32,4,add,1100
2024-07-17 05:15,1256.1139,-333.9137878417969,498.90707,1145.4817,8,498.90707,-52.12551498413086,1256.1139,1145.4817,8,1145.4817,-170.22276306152344,1256.1139,498.90707,8,16,0.2,32,128,512,64,6,add,1100
2024-07-17 06:28,382.92416,-101.05587768554688,444.5589,396.2098,11,401.6453,-125.55686950683594,278.5801,307.60068,8,344.4948,-70.53607177734375,315.69662,440.02707,9,8,0.1,32,64,128,64,2,add,1100
2024-07-17 07:25,1960.959,-135.4359130859375,1337.9109,1852.7284,9,621.5897,-296.21649169921875,3158.9717,2838.6523,1,557.98883,-11.430665016174316,545.3209,604.8629,8,16,0.15,32,64,128,64,12,add,1100
2024-07-17 05:36,363.69196,-276.4237670898437,511.06894,397.31863,9,511.06894,-417.89697265625,363.69196,397.31863,9,397.31863,-203.94696044921875,363.69196,511.06894,9,24,0.1,32,128,512,64,6,add,1100
2024-07-17 07:16,522.96375,-585.977294921875,648.66376,550.15137,15,439.926,-40.397579193115234,238.96101,291.43582,10,340.64285,-110.46028900146484,212.32834,632.7676,14,16,0.1,32,256,32,32,8,add,1100
2024-07-16 23:36,368.07895,11.670135498046877,449.44748,386.52017,8,449.44748,-12.364965438842772,368.07895,386.52017,8,386.52017,12.18017292022705,368.07895,449.44748,8,24,0.2,32,128,256,32,4,add,1100
2024-07-16 22:55,221.4259,-117.59954071044922,462.13715,286.3136,13,411.1408,-117.18132019042967,200.64157,257.50925,10,257.50925,-15.017452239990234,200.64157,411.1408,10,16,0.18,32,64,32,64,4,add,1100
2024-07-16 22:39,660.8863,-120.11324310302734,708.68567,670.4913,11,513.4236,-121.61050415039062,293.1611,348.87177,10,348.87177,-22.998628616333008,293.1611,513.4236,10,16,0.15,32,128,256,32,4,add,1100
2024-07-17 05:40,189.3939,11.947901725769045,540.70294,295.0849,16,563.00024,-449.33013916015625,283.10284,356.83194,12,575.3453,-48.69654083251953,566.0394,609.831,17,24,0.05,32,64,128,32,12,add,1100
2024-07-16 21:26,327.8851,-149.15536499023438,413.9455,347.0686,11,779.97046,0.9144005179405212,2296.8093,2083.2966,12,2083.2966,-286.5489501953125,2296.8093,779.97046,12,24,0.15,32,64,32,32,8,add,1100
2024-07-16 22:08,328.31442,-11.001266479492188,451.5808,356.93063,10,451.5808,-59.7590217590332,328.31442,356.93063,10,356.93063,-2.992635726928711,328.31442,451.5808,10,8,0.18,32,128,256,32,6,add,1100
2024-07-17 02:20,218.12177,32.39625930786133,526.6489,306.45856,15,450.76205,-78.59153747558594,225.6772,285.73856,10,285.73856,9.565536499023438,225.6772,450.76205,10,8,0.15,32,64,64,64,4,add,1100
2024-07-17 05:16,252.79079,-45.04774475097656,410.86115,292.0055,7,496.15283,-333.90997314453125,505.6315,503.67297,9,330.56622,-60.41095733642578,316.17435,381.75632,8,16,0.2,32,128,512,64,8,add,1100
2024-07-16 20:07,370.94864,-232.2610015869141,474.9182,394.03564,11,398.46817,-62.660606384277344,247.99521,285.289,8,293.08435,16.39009666442871,235.94736,452.00504,10,8,0.2,32,64,32,32,2,add,1100
2024-07-17 01:35,393.77463,-227.3741149902344,462.4091,408.40643,10,445.94427,-30.15304183959961,290.70096,328.4927,9,328.4927,12.786478996276855,290.70096,445.94427,9,24,0.15,32,128,256,64,8,add,1100
2024-07-16 22:41,296.48718,-3.226738929748535,462.82092,337.23672,11,411.75644,-49.08989334106445,227.33446,275.232,10,275.232,6.264559745788574,227.33446,411.75644,10,16,0.15,32,128,256,32,6,add,1100
2024-07-17 06:49,245.94756,-36.07877731323242,415.7998,288.79034,9,415.7998,-110.71725463867188,245.94756,288.79034,9,288.79034,-25.433542251586918,245.94756,415.7998,9,8,0.18,32,64,128,64,8,add,1100
2024-07-17 00:23,756.57635,1.4736881256103516,667.28687,739.81934,13,435.98773,-224.49301147460935,225.77728,281.32956,10,281.32956,-70.99193572998047,225.77728,435.98773,10,8,0.18,32,64,64,32,6,add,1100
